,0
durbin_watson_stat,2.022109673765133
durbin_watson_passed,Yes
IV_Age_pearson_r,0.016894394524662674
IV_Age_pearson_p,0.8723048031025388
IV_Gender (F)_pearson_r,0.11058008447085876
IV_Gender (F)_pearson_p,0.29132784719639787
IV_Education years_pearson_r,0.04119628186609153
IV_Education years_pearson_p,0.6950021068055581
linear_DVandIVs_passed,"No:IV_Age_pearson_p, IV_Gender (F)_pearson_p, IV_Education years_pearson_p"
rainbow_linearity,0.3790053282084223
rainbow_linearity_passed,Yes
breusch_pagan_p,0.30245690331815067
f_test_p,0.31077368969714575
breusch_pagan_passed,Yes
f_test_passed,Yes
goldfeld_quandt_p,0.79573202924432
goldfeld_quandt_passed,Yes
high_pairwise_correlations_passed,Yes
VIF_passed,No
VIF_predictorsFailed,100.551687 const
outlier_index,[]
outliers_passed,Yes
influence_largeCooksD_index,[]
influence_passed,Yes
meanOfResiduals,1.0744093786695064e-16
meanOfResiduals_passed,Yes
shapiroWilks_p,0.8388374362512192
shapiroWilks_passed,Yes
